"count","apparent_temperature","date","holiday","hour","humidity","month","season","temperature","weather","weekday","windspeed","working_day","year"
163,0.7273,"2011-07-06",FALSE,14,0.66,7,"summer",0.76,"1",3,0.2836,TRUE,0
185,0.7273,"2011-07-06",FALSE,15,0.7,7,"summer",0.76,"1",3,0.2836,TRUE,0
275,0.7273,"2011-07-06",FALSE,16,0.7,7,"summer",0.76,"1",3,0.2537,TRUE,0
596,0.7424,"2011-07-06",FALSE,17,0.59,7,"summer",0.78,"1",3,0.2239,TRUE,0
563,0.7121,"2011-07-06",FALSE,18,0.62,7,"summer",0.76,"1",3,0.194,TRUE,0
394,0.697,"2011-07-06",FALSE,19,0.7,7,"summer",0.74,"1",3,0.2239,TRUE,0
312,0.697,"2011-07-06",FALSE,20,0.74,7,"summer",0.72,"1",3,0.2537,TRUE,0
241,0.6667,"2011-07-06",FALSE,21,0.79,7,"summer",0.7,"1",3,0.194,TRUE,0
186,0.6667,"2011-07-06",FALSE,22,0.79,7,"summer",0.7,"1",3,0.194,TRUE,0
98,0.6364,"2011-07-06",FALSE,23,0.83,7,"summer",0.68,"1",3,0.2239,TRUE,0
35,0.5909,"2011-07-07",FALSE,0,0.89,7,"summer",0.66,"1",4,0.1343,TRUE,0
16,0.5909,"2011-07-07",FALSE,1,0.89,7,"summer",0.66,"1",4,0.194,TRUE,0
8,0.5909,"2011-07-07",FALSE,2,0.89,7,"summer",0.66,"1",4,0.194,TRUE,0
4,0.5606,"2011-07-07",FALSE,3,0.94,7,"summer",0.64,"1",4,0.1045,TRUE,0
4,0.5758,"2011-07-07",FALSE,4,0.89,7,"summer",0.64,"1",4,0.1045,TRUE,0
32,0.5758,"2011-07-07",FALSE,5,0.89,7,"summer",0.64,"1",4,0.1045,TRUE,0
118,0.5758,"2011-07-07",FALSE,6,0.89,7,"summer",0.64,"2",4,0.1343,TRUE,0
292,0.5909,"2011-07-07",FALSE,7,0.89,7,"summer",0.66,"2",4,0.1045,TRUE,0
443,0.6667,"2011-07-07",FALSE,8,0.79,7,"summer",0.7,"2",4,0.194,TRUE,0
179,0.697,"2011-07-07",FALSE,9,0.7,7,"summer",0.74,"1",4,0.1642,TRUE,0
101,0.7424,"2011-07-07",FALSE,10,0.62,7,"summer",0.78,"1",4,0,TRUE,0
142,0.7727,"2011-07-07",FALSE,11,0.52,7,"summer",0.82,"1",4,0.1343,TRUE,0
171,0.7727,"2011-07-07",FALSE,12,0.41,7,"summer",0.84,"1",4,0,TRUE,0
155,0.7879,"2011-07-07",FALSE,13,0.41,7,"summer",0.86,"1",4,0,TRUE,0
160,0.7879,"2011-07-07",FALSE,14,0.41,7,"summer",0.86,"1",4,0.2537,TRUE,0
166,0.7879,"2011-07-07",FALSE,15,0.41,7,"summer",0.86,"1",4,0.2537,TRUE,0
265,0.7727,"2011-07-07",FALSE,16,0.39,7,"summer",0.86,"1",4,0.2239,TRUE,0
569,0.7576,"2011-07-07",FALSE,17,0.36,7,"summer",0.86,"1",4,0.2537,TRUE,0
562,0.7576,"2011-07-07",FALSE,18,0.44,7,"summer",0.84,"1",4,0.2985,TRUE,0
365,0.7727,"2011-07-07",FALSE,19,0.52,7,"summer",0.82,"1",4,0.2836,TRUE,0
285,0.7121,"2011-07-07",FALSE,20,0.58,7,"summer",0.76,"1",4,0.3582,TRUE,0
209,0.6818,"2011-07-07",FALSE,21,0.62,7,"summer",0.74,"1",4,0.1642,TRUE,0
182,0.6818,"2011-07-07",FALSE,22,0.62,7,"summer",0.74,"1",4,0.1642,TRUE,0
129,0.6818,"2011-07-07",FALSE,23,0.66,7,"summer",0.72,"1",4,0,TRUE,0
47,0.697,"2011-07-08",FALSE,0,0.66,7,"summer",0.74,"1",5,0.1045,TRUE,0
34,0.697,"2011-07-08",FALSE,1,0.79,7,"summer",0.72,"1",5,0,TRUE,0
22,0.6667,"2011-07-08",FALSE,2,0.74,7,"summer",0.7,"2",5,0.1642,TRUE,0
6,0.6364,"2011-07-08",FALSE,3,0.79,7,"summer",0.68,"1",5,0.1045,TRUE,0
11,0.6667,"2011-07-08",FALSE,4,0.79,7,"summer",0.7,"1",5,0.2537,TRUE,0
27,0.6364,"2011-07-08",FALSE,5,0.79,7,"summer",0.68,"1",5,0.2537,TRUE,0
102,0.6667,"2011-07-08",FALSE,6,0.74,7,"summer",0.7,"1",5,0.1045,TRUE,0
332,0.6667,"2011-07-08",FALSE,7,0.79,7,"summer",0.7,"2",5,0.194,TRUE,0
457,0.697,"2011-07-08",FALSE,8,0.74,7,"summer",0.72,"2",5,0.2537,TRUE,0
241,0.7273,"2011-07-08",FALSE,9,0.7,7,"summer",0.76,"2",5,0.2985,TRUE,0
138,0.697,"2011-07-08",FALSE,10,0.7,7,"summer",0.74,"2",5,0.3582,TRUE,0
165,0.7121,"2011-07-08",FALSE,11,0.74,7,"summer",0.74,"2",5,0.2537,TRUE,0
213,0.7273,"2011-07-08",FALSE,12,0.7,7,"summer",0.76,"2",5,0.2836,TRUE,0
229,0.7576,"2011-07-08",FALSE,13,0.66,7,"summer",0.78,"2",5,0.2836,TRUE,0
216,0.7879,"2011-07-08",FALSE,14,0.63,7,"summer",0.8,"2",5,0.3582,TRUE,0
141,0.7879,"2011-07-08",FALSE,15,0.63,7,"summer",0.8,"2",5,0.3582,TRUE,0
132,0.6364,"2011-07-08",FALSE,16,0.83,7,"summer",0.68,"3",5,0.4478,TRUE,0
167,0.5909,"2011-07-08",FALSE,17,0.89,7,"summer",0.66,"3",5,0.4478,TRUE,0
316,0.6061,"2011-07-08",FALSE,18,0.83,7,"summer",0.66,"1",5,0.0896,TRUE,0
270,0.6061,"2011-07-08",FALSE,19,0.83,7,"summer",0.66,"1",5,0.0896,TRUE,0
250,0.6061,"2011-07-08",FALSE,20,0.83,7,"summer",0.66,"1",5,0.1642,TRUE,0
204,0.6061,"2011-07-08",FALSE,21,0.83,7,"summer",0.66,"2",5,0.2537,TRUE,0
169,0.6061,"2011-07-08",FALSE,22,0.78,7,"summer",0.66,"2",5,0.194,TRUE,0
151,0.6061,"2011-07-08",FALSE,23,0.78,7,"summer",0.66,"2",5,0.0896,TRUE,0
121,0.6061,"2011-07-09",FALSE,0,0.83,7,"summer",0.66,"2",6,0.1343,FALSE,0
53,0.5758,"2011-07-09",FALSE,1,0.89,7,"summer",0.64,"2",6,0.1045,FALSE,0
55,0.5758,"2011-07-09",FALSE,2,0.89,7,"summer",0.64,"1",6,0.1642,FALSE,0
30,0.5758,"2011-07-09",FALSE,3,0.89,7,"summer",0.64,"1",6,0.1343,FALSE,0
6,0.5758,"2011-07-09",FALSE,4,0.83,7,"summer",0.64,"1",6,0.2239,FALSE,0
15,0.5606,"2011-07-09",FALSE,5,0.88,7,"summer",0.62,"2",6,0.1642,FALSE,0
38,0.5758,"2011-07-09",FALSE,6,0.83,7,"summer",0.64,"2",6,0.194,FALSE,0
71,0.6061,"2011-07-09",FALSE,7,0.78,7,"summer",0.66,"1",6,0.194,FALSE,0
182,0.6515,"2011-07-09",FALSE,8,0.7,7,"summer",0.7,"1",6,0.2537,FALSE,0
247,0.6818,"2011-07-09",FALSE,9,0.58,7,"summer",0.74,"1",6,0.2836,FALSE,0
264,0.697,"2011-07-09",FALSE,10,0.52,7,"summer",0.76,"1",6,0.1642,FALSE,0
290,0.697,"2011-07-09",FALSE,11,0.46,7,"summer",0.78,"1",6,0.2985,FALSE,0
366,0.7273,"2011-07-09",FALSE,12,0.46,7,"summer",0.8,"1",6,0.2537,FALSE,0
416,0.7424,"2011-07-09",FALSE,13,0.41,7,"summer",0.82,"1",6,0.2239,FALSE,0
373,0.7424,"2011-07-09",FALSE,14,0.36,7,"summer",0.84,"1",6,0.1343,FALSE,0
402,0.7273,"2011-07-09",FALSE,15,0.34,7,"summer",0.84,"1",6,0.0896,FALSE,0
416,0.7273,"2011-07-09",FALSE,16,0.38,7,"summer",0.82,"1",6,0,FALSE,0
401,0.7273,"2011-07-09",FALSE,17,0.32,7,"summer",0.84,"1",6,0,FALSE,0
378,0.7273,"2011-07-09",FALSE,18,0.36,7,"summer",0.82,"1",6,0.1045,FALSE,0
306,0.697,"2011-07-09",FALSE,19,0.55,7,"summer",0.76,"1",6,0.1642,FALSE,0
314,0.7121,"2011-07-09",FALSE,20,0.58,7,"summer",0.76,"1",6,0.2239,FALSE,0
238,0.6818,"2011-07-09",FALSE,21,0.58,7,"summer",0.74,"1",6,0.1642,FALSE,0
214,0.6818,"2011-07-09",FALSE,22,0.62,7,"summer",0.72,"1",6,0.1642,FALSE,0
140,0.6667,"2011-07-09",FALSE,23,0.58,7,"summer",0.72,"1",6,0.194,FALSE,0
154,0.6515,"2011-07-10",FALSE,0,0.61,7,"summer",0.7,"1",0,0.1642,FALSE,0
113,0.6515,"2011-07-10",FALSE,1,0.61,7,"summer",0.7,"1",0,0.1343,FALSE,0
96,0.6364,"2011-07-10",FALSE,2,0.69,7,"summer",0.68,"1",0,0.0896,FALSE,0
25,0.6212,"2011-07-10",FALSE,3,0.74,7,"summer",0.66,"1",0,0.0896,FALSE,0
5,0.6212,"2011-07-10",FALSE,4,0.69,7,"summer",0.66,"1",0,0.0896,FALSE,0
17,0.6212,"2011-07-10",FALSE,5,0.74,7,"summer",0.66,"1",0,0,FALSE,0
25,0.5909,"2011-07-10",FALSE,6,0.78,7,"summer",0.64,"1",0,0.0896,FALSE,0
65,0.6515,"2011-07-10",FALSE,7,0.7,7,"summer",0.7,"1",0,0.0896,FALSE,0
92,0.6818,"2011-07-10",FALSE,8,0.66,7,"summer",0.72,"1",0,0,FALSE,0
169,0.697,"2011-07-10",FALSE,9,0.66,7,"summer",0.74,"1",0,0.0896,FALSE,0
268,0.697,"2011-07-10",FALSE,10,0.55,7,"summer",0.76,"1",0,0.1343,FALSE,0
287,0.7273,"2011-07-10",FALSE,11,0.55,7,"summer",0.78,"1",0,0.194,FALSE,0
377,0.7576,"2011-07-10",FALSE,12,0.46,7,"summer",0.82,"1",0,0.2836,FALSE,0
367,0.7273,"2011-07-10",FALSE,13,0.46,7,"summer",0.8,"1",0,0.2985,FALSE,0
349,0.7424,"2011-07-10",FALSE,14,0.41,7,"summer",0.82,"1",0,0.3284,FALSE,0
361,0.7424,"2011-07-10",FALSE,15,0.39,7,"summer",0.84,"1",0,0.2836,FALSE,0
372,0.7576,"2011-07-10",FALSE,16,0.41,7,"summer",0.84,"1",0,0.2836,FALSE,0
363,0.7424,"2011-07-10",FALSE,17,0.36,7,"summer",0.84,"1",0,0.2239,FALSE,0
363,0.7424,"2011-07-10",FALSE,18,0.43,7,"summer",0.82,"1",0,0.2836,FALSE,0
303,0.7424,"2011-07-10",FALSE,19,0.49,7,"summer",0.8,"1",0,0.3284,FALSE,0
268,0.697,"2011-07-10",FALSE,20,0.55,7,"summer",0.76,"1",0,0.194,FALSE,0
227,0.6818,"2011-07-10",FALSE,21,0.62,7,"summer",0.74,"1",0,0.2537,FALSE,0
143,0.697,"2011-07-10",FALSE,22,0.66,7,"summer",0.74,"1",0,0.2239,FALSE,0
72,0.6818,"2011-07-10",FALSE,23,0.66,7,"summer",0.72,"1",0,0.2537,FALSE,0
35,0.6515,"2011-07-11",FALSE,0,0.65,7,"summer",0.7,"1",1,0.194,TRUE,0
10,0.6515,"2011-07-11",FALSE,1,0.61,7,"summer",0.7,"1",1,0.2836,TRUE,0
12,0.6515,"2011-07-11",FALSE,2,0.61,7,"summer",0.7,"1",1,0.2239,TRUE,0
10,0.6364,"2011-07-11",FALSE,3,0.65,7,"summer",0.68,"1",1,0.1642,TRUE,0
4,0.6212,"2011-07-11",FALSE,4,0.74,7,"summer",0.66,"1",1,0.2239,TRUE,0
26,0.6212,"2011-07-11",FALSE,5,0.74,7,"summer",0.66,"1",1,0.1343,TRUE,0
121,0.6364,"2011-07-11",FALSE,6,0.74,7,"summer",0.68,"1",1,0.194,TRUE,0
317,0.6667,"2011-07-11",FALSE,7,0.74,7,"summer",0.7,"1",1,0.2537,TRUE,0
420,0.697,"2011-07-11",FALSE,8,0.66,7,"summer",0.74,"1",1,0.2836,TRUE,0
208,0.7424,"2011-07-11",FALSE,9,0.59,7,"summer",0.78,"1",1,0.2985,TRUE,0
117,0.7576,"2011-07-11",FALSE,10,0.55,7,"summer",0.8,"1",1,0.3582,TRUE,0
128,0.7879,"2011-07-11",FALSE,11,0.56,7,"summer",0.82,"1",1,0.2985,TRUE,0
148,0.803,"2011-07-11",FALSE,12,0.53,7,"summer",0.84,"1",1,0.2836,TRUE,0
141,0.8182,"2011-07-11",FALSE,13,0.5,7,"summer",0.86,"1",1,0.2537,TRUE,0
134,0.8333,"2011-07-11",FALSE,14,0.53,7,"summer",0.86,"1",1,0.2836,TRUE,0
146,0.8485,"2011-07-11",FALSE,15,0.56,7,"summer",0.86,"1",1,0.4179,TRUE,0
239,0.8485,"2011-07-11",FALSE,16,0.56,7,"summer",0.86,"1",1,0.3881,TRUE,0
514,0.8485,"2011-07-11",FALSE,17,0.56,7,"summer",0.86,"1",1,0.4179,TRUE,0
472,0.8333,"2011-07-11",FALSE,18,0.53,7,"summer",0.86,"1",1,0.3881,TRUE,0
373,0.8333,"2011-07-11",FALSE,19,0.59,7,"summer",0.84,"1",1,0.3284,TRUE,0
236,0.697,"2011-07-11",FALSE,20,0.74,7,"summer",0.72,"1",1,0.4179,TRUE,0
130,0.6667,"2011-07-11",FALSE,21,0.79,7,"summer",0.7,"1",1,0.4179,TRUE,0
90,0.697,"2011-07-11",FALSE,22,0.74,7,"summer",0.72,"1",1,0.1343,TRUE,0
55,0.6667,"2011-07-11",FALSE,23,0.79,7,"summer",0.7,"1",1,0.1343,TRUE,0
22,0.6667,"2011-07-12",FALSE,0,0.79,7,"summer",0.7,"1",2,0.1343,TRUE,0
14,0.6667,"2011-07-12",FALSE,1,0.79,7,"summer",0.7,"1",2,0.0896,TRUE,0
9,0.6667,"2011-07-12",FALSE,2,0.79,7,"summer",0.7,"1",2,0.1045,TRUE,0
8,0.6667,"2011-07-12",FALSE,3,0.79,7,"summer",0.7,"2",2,0,TRUE,0
6,0.6667,"2011-07-12",FALSE,4,0.79,7,"summer",0.7,"1",2,0.1642,TRUE,0
25,0.6667,"2011-07-12",FALSE,5,0.79,7,"summer",0.7,"1",2,0.0896,TRUE,0
115,0.6818,"2011-07-12",FALSE,6,0.58,7,"summer",0.74,"1",2,0.2239,TRUE,0
330,0.697,"2011-07-12",FALSE,7,0.55,7,"summer",0.76,"1",2,0.194,TRUE,0
417,0.7121,"2011-07-12",FALSE,8,0.58,7,"summer",0.76,"1",2,0.2239,TRUE,0
176,0.7273,"2011-07-12",FALSE,9,0.55,7,"summer",0.78,"1",2,0.4925,TRUE,0
123,0.7727,"2011-07-12",FALSE,10,0.52,7,"summer",0.82,"1",2,0.1642,TRUE,0
125,0.7727,"2011-07-12",FALSE,11,0.52,7,"summer",0.82,"1",2,0.1642,TRUE,0
163,0.7879,"2011-07-12",FALSE,12,0.44,7,"summer",0.86,"1",2,0.2985,TRUE,0
136,0.803,"2011-07-12",FALSE,13,0.47,7,"summer",0.86,"1",2,0.2239,TRUE,0
124,0.8485,"2011-07-12",FALSE,14,0.42,7,"summer",0.9,"1",2,0.2985,TRUE,0
148,0.8485,"2011-07-12",FALSE,15,0.42,7,"summer",0.9,"1",2,0.3582,TRUE,0
202,0.7879,"2011-07-12",FALSE,16,0.44,7,"summer",0.86,"1",2,0.2836,TRUE,0
428,0.8182,"2011-07-12",FALSE,17,0.44,7,"summer",0.88,"1",2,0.2836,TRUE,0
511,0.803,"2011-07-12",FALSE,18,0.47,7,"summer",0.86,"1",2,0.2985,TRUE,0
337,0.7576,"2011-07-12",FALSE,19,0.44,7,"summer",0.84,"1",2,0.2836,TRUE,0
308,0.7424,"2011-07-12",FALSE,20,0.43,7,"summer",0.82,"1",2,0.194,TRUE,0
258,0.7424,"2011-07-12",FALSE,21,0.43,7,"summer",0.82,"1",2,0.1045,TRUE,0
194,0.7273,"2011-07-12",FALSE,22,0.46,7,"summer",0.8,"1",2,0.1343,TRUE,0
79,0.7121,"2011-07-12",FALSE,23,0.52,7,"summer",0.78,"1",2,0,TRUE,0
46,0.7121,"2011-07-13",FALSE,0,0.62,7,"summer",0.76,"1",3,0,TRUE,0
12,0.697,"2011-07-13",FALSE,1,0.55,7,"summer",0.76,"1",3,0,TRUE,0
5,0.697,"2011-07-13",FALSE,2,0.55,7,"summer",0.76,"1",3,0,TRUE,0
4,0.6818,"2011-07-13",FALSE,3,0.58,7,"summer",0.74,"1",3,0.194,TRUE,0
5,0.6818,"2011-07-13",FALSE,4,0.58,7,"summer",0.74,"1",3,0.2537,TRUE,0
26,0.6818,"2011-07-13",FALSE,5,0.58,7,"summer",0.74,"1",3,0.194,TRUE,0
121,0.6818,"2011-07-13",FALSE,6,0.58,7,"summer",0.74,"1",3,0.1642,TRUE,0
313,0.697,"2011-07-13",FALSE,7,0.55,7,"summer",0.76,"1",3,0.2537,TRUE,0
449,0.7424,"2011-07-13",FALSE,8,0.49,7,"summer",0.8,"1",3,0.2537,TRUE,0
186,0.7424,"2011-07-13",FALSE,9,0.41,7,"summer",0.82,"1",3,0.194,TRUE,0
113,0.7576,"2011-07-13",FALSE,10,0.46,7,"summer",0.82,"1",3,0.194,TRUE,0
165,0.7424,"2011-07-13",FALSE,11,0.39,7,"summer",0.84,"1",3,0.1642,TRUE,0
174,0.7576,"2011-07-13",FALSE,12,0.41,7,"summer",0.84,"1",3,0.2836,TRUE,0
158,0.7576,"2011-07-13",FALSE,13,0.46,7,"summer",0.82,"3",3,0.1343,TRUE,0
116,0.7576,"2011-07-13",FALSE,14,0.46,7,"summer",0.82,"3",3,0.1343,TRUE,0
46,0.5606,"2011-07-13",FALSE,15,0.94,7,"summer",0.64,"3",3,0.1343,TRUE,0
141,0.5909,"2011-07-13",FALSE,16,0.89,7,"summer",0.66,"2",3,0,TRUE,0
488,0.6667,"2011-07-13",FALSE,17,0.79,7,"summer",0.7,"1",3,0,TRUE,0
463,0.697,"2011-07-13",FALSE,18,0.79,7,"summer",0.72,"1",3,0.1343,TRUE,0
419,0.6667,"2011-07-13",FALSE,19,0.79,7,"summer",0.7,"1",3,0.1045,TRUE,0
342,0.6667,"2011-07-13",FALSE,20,0.84,7,"summer",0.7,"1",3,0.1642,TRUE,0
250,0.6667,"2011-07-13",FALSE,21,0.79,7,"summer",0.7,"1",3,0.1045,TRUE,0
184,0.6364,"2011-07-13",FALSE,22,0.83,7,"summer",0.68,"1",3,0.194,TRUE,0
116,0.6061,"2011-07-13",FALSE,23,0.83,7,"summer",0.66,"1",3,0.2537,TRUE,0
46,0.6212,"2011-07-14",FALSE,0,0.69,7,"summer",0.66,"1",4,0.2985,TRUE,0
25,0.6212,"2011-07-14",FALSE,1,0.61,7,"summer",0.66,"1",4,0.2537,TRUE,0
10,0.6212,"2011-07-14",FALSE,2,0.57,7,"summer",0.64,"1",4,0.2985,TRUE,0
6,0.6212,"2011-07-14",FALSE,3,0.57,7,"summer",0.62,"1",4,0.2985,TRUE,0
6,0.6212,"2011-07-14",FALSE,4,0.53,7,"summer",0.62,"1",4,0.2537,TRUE,0
28,0.6212,"2011-07-14",FALSE,5,0.56,7,"summer",0.6,"1",4,0.2239,TRUE,0
130,0.6061,"2011-07-14",FALSE,6,0.6,7,"summer",0.6,"1",4,0.2239,TRUE,0
334,0.6212,"2011-07-14",FALSE,7,0.53,7,"summer",0.62,"1",4,0.2537,TRUE,0
486,0.6212,"2011-07-14",FALSE,8,0.5,7,"summer",0.64,"1",4,0.3582,TRUE,0
224,0.6364,"2011-07-14",FALSE,9,0.47,7,"summer",0.68,"1",4,0.2836,TRUE,0
127,0.6364,"2011-07-14",FALSE,10,0.42,7,"summer",0.7,"1",4,0.2537,TRUE,0
148,0.6515,"2011-07-14",FALSE,11,0.37,7,"summer",0.72,"1",4,0.2239,TRUE,0
223,0.6515,"2011-07-14",FALSE,12,0.35,7,"summer",0.74,"1",4,0.2537,TRUE,0
177,0.6667,"2011-07-14",FALSE,13,0.33,7,"summer",0.76,"1",4,0.3284,TRUE,0
178,0.6515,"2011-07-14",FALSE,14,0.35,7,"summer",0.74,"1",4,0.2836,TRUE,0
180,0.6667,"2011-07-14",FALSE,15,0.33,7,"summer",0.76,"1",4,0.2985,TRUE,0
274,0.6667,"2011-07-14",FALSE,16,0.33,7,"summer",0.76,"1",4,0.1343,TRUE,0
595,0.6515,"2011-07-14",FALSE,17,0.37,7,"summer",0.74,"1",4,0.1343,TRUE,0
578,0.6515,"2011-07-14",FALSE,18,0.42,7,"summer",0.72,"1",4,0.194,TRUE,0
400,0.6515,"2011-07-14",FALSE,19,0.39,7,"summer",0.72,"1",4,0.2239,TRUE,0
348,0.6364,"2011-07-14",FALSE,20,0.42,7,"summer",0.7,"1",4,0.2239,TRUE,0
261,0.6212,"2011-07-14",FALSE,21,0.5,7,"summer",0.66,"1",4,0.1343,TRUE,0
176,0.6212,"2011-07-14",FALSE,22,0.57,7,"summer",0.64,"1",4,0.0896,TRUE,0
124,0.6061,"2011-07-14",FALSE,23,0.65,7,"summer",0.64,"1",4,0.2537,TRUE,0
80,0.5909,"2011-07-15",FALSE,0,0.73,7,"summer",0.62,"1",5,0.2239,TRUE,0
20,0.5909,"2011-07-15",FALSE,1,0.73,7,"summer",0.62,"1",5,0.194,TRUE,0
38,0.5758,"2011-07-15",FALSE,2,0.78,7,"summer",0.6,"1",5,0.1642,TRUE,0
7,0.5909,"2011-07-15",FALSE,3,0.73,7,"summer",0.6,"1",5,0.194,TRUE,0
10,0.5909,"2011-07-15",FALSE,4,0.73,7,"summer",0.6,"1",5,0.1642,TRUE,0
23,0.5909,"2011-07-15",FALSE,5,0.73,7,"summer",0.6,"1",5,0.1343,TRUE,0
120,0.5909,"2011-07-15",FALSE,6,0.73,7,"summer",0.6,"2",5,0.1045,TRUE,0
274,0.6061,"2011-07-15",FALSE,7,0.65,7,"summer",0.64,"1",5,0.1045,TRUE,0
564,0.6061,"2011-07-15",FALSE,8,0.65,7,"summer",0.64,"1",5,0.2537,TRUE,0
207,0.6364,"2011-07-15",FALSE,9,0.54,7,"summer",0.68,"1",5,0.194,TRUE,0
166,0.6212,"2011-07-15",FALSE,10,0.61,7,"summer",0.66,"2",5,0.1642,TRUE,0
210,0.6515,"2011-07-15",FALSE,11,0.54,7,"summer",0.7,"1",5,0.1343,TRUE,0
238,0.6515,"2011-07-15",FALSE,12,0.48,7,"summer",0.7,"1",5,0.194,TRUE,0
247,0.6515,"2011-07-15",FALSE,13,0.54,7,"summer",0.7,"1",5,0.194,TRUE,0
265,0.6515,"2011-07-15",FALSE,14,0.51,7,"summer",0.7,"1",5,0.194,TRUE,0
237,0.6515,"2011-07-15",FALSE,15,0.45,7,"summer",0.72,"1",5,0.1642,TRUE,0
361,0.6667,"2011-07-15",FALSE,16,0.51,7,"summer",0.72,"1",5,0.194,TRUE,0
587,0.6667,"2011-07-15",FALSE,17,0.42,7,"summer",0.74,"1",5,0.2537,TRUE,0
496,0.6515,"2011-07-15",FALSE,18,0.45,7,"summer",0.72,"1",5,0.2239,TRUE,0
394,0.6364,"2011-07-15",FALSE,19,0.45,7,"summer",0.7,"1",5,0.2239,TRUE,0
343,0.6515,"2011-07-15",FALSE,20,0.51,7,"summer",0.7,"1",5,0.2239,TRUE,0
261,0.6212,"2011-07-15",FALSE,21,0.54,7,"summer",0.66,"1",5,0.1045,TRUE,0
223,0.6212,"2011-07-15",FALSE,22,0.57,7,"summer",0.66,"1",5,0.2239,TRUE,0
167,0.6212,"2011-07-15",FALSE,23,0.61,7,"summer",0.64,"1",5,0.1642,TRUE,0
110,0.6061,"2011-07-16",FALSE,0,0.65,7,"summer",0.62,"1",6,0.194,FALSE,0
75,0.5909,"2011-07-16",FALSE,1,0.69,7,"summer",0.6,"1",6,0.1045,FALSE,0
58,0.5909,"2011-07-16",FALSE,2,0.73,7,"summer",0.6,"1",6,0.1343,FALSE,0
26,0.5758,"2011-07-16",FALSE,3,0.78,7,"summer",0.6,"1",6,0.1343,FALSE,0
16,0.5909,"2011-07-16",FALSE,4,0.73,7,"summer",0.6,"1",6,0.0896,FALSE,0
10,0.5455,"2011-07-16",FALSE,5,0.78,7,"summer",0.58,"1",6,0.0896,FALSE,0
37,0.5758,"2011-07-16",FALSE,6,0.78,7,"summer",0.6,"1",6,0.1642,FALSE,0
52,0.5909,"2011-07-16",FALSE,7,0.73,7,"summer",0.62,"1",6,0.1343,FALSE,0
127,0.6212,"2011-07-16",FALSE,8,0.65,7,"summer",0.66,"1",6,0.1642,FALSE,0
222,0.6515,"2011-07-16",FALSE,9,0.54,7,"summer",0.7,"1",6,0.2239,FALSE,0
322,0.6667,"2011-07-16",FALSE,10,0.54,7,"summer",0.72,"1",6,0.194,FALSE,0
396,0.6667,"2011-07-16",FALSE,11,0.48,7,"summer",0.74,"1",6,0.2239,FALSE,0
463,0.6818,"2011-07-16",FALSE,12,0.43,7,"summer",0.76,"1",6,0.2836,FALSE,0
497,0.6818,"2011-07-16",FALSE,13,0.45,7,"summer",0.76,"1",6,0.2985,FALSE,0
433,0.6667,"2011-07-16",FALSE,14,0.45,7,"summer",0.74,"1",6,0.2985,FALSE,0
428,0.6818,"2011-07-16",FALSE,15,0.45,7,"summer",0.76,"1",6,0.3284,FALSE,0
425,0.6818,"2011-07-16",FALSE,16,0.45,7,"summer",0.76,"1",6,0.2836,FALSE,0
475,0.6818,"2011-07-16",FALSE,17,0.45,7,"summer",0.76,"1",6,0.2239,FALSE,0
428,0.6818,"2011-07-16",FALSE,18,0.45,7,"summer",0.76,"1",6,0.2836,FALSE,0
406,0.6818,"2011-07-16",FALSE,19,0.48,7,"summer",0.74,"1",6,0.194,FALSE,0
296,0.6667,"2011-07-16",FALSE,20,0.51,7,"summer",0.72,"1",6,0.2239,FALSE,0
252,0.6515,"2011-07-16",FALSE,21,0.58,7,"summer",0.7,"1",6,0.2239,FALSE,0
201,0.6515,"2011-07-16",FALSE,22,0.65,7,"summer",0.7,"1",6,0.2836,FALSE,0
168,0.6364,"2011-07-16",FALSE,23,0.61,7,"summer",0.68,"1",6,0.2239,FALSE,0
125,0.6212,"2011-07-17",FALSE,0,0.65,7,"summer",0.66,"1",0,0.2239,FALSE,0
102,0.6061,"2011-07-17",FALSE,1,0.69,7,"summer",0.64,"1",0,0.194,FALSE,0
94,0.6061,"2011-07-17",FALSE,2,0.69,7,"summer",0.64,"1",0,0.2239,FALSE,0
47,0.6061,"2011-07-17",FALSE,3,0.69,7,"summer",0.64,"1",0,0.2239,FALSE,0
10,0.5909,"2011-07-17",FALSE,4,0.73,7,"summer",0.62,"1",0,0.1642,FALSE,0
12,0.6061,"2011-07-17",FALSE,5,0.69,7,"summer",0.64,"1",0,0.2239,FALSE,0
21,0.5909,"2011-07-17",FALSE,6,0.73,7,"summer",0.62,"1",0,0.1642,FALSE,0
50,0.6061,"2011-07-17",FALSE,7,0.73,7,"summer",0.64,"1",0,0.1642,FALSE,0
118,0.6364,"2011-07-17",FALSE,8,0.65,7,"summer",0.68,"1",0,0.2239,FALSE,0
184,0.6667,"2011-07-17",FALSE,9,0.58,7,"summer",0.72,"1",0,0.2239,FALSE,0
304,0.6818,"2011-07-17",FALSE,10,0.6,7,"summer",0.74,"1",0,0.2239,FALSE,0
391,0.697,"2011-07-17",FALSE,11,0.55,7,"summer",0.76,"1",0,0.2836,FALSE,0
420,0.697,"2011-07-17",FALSE,12,0.55,7,"summer",0.76,"1",0,0.2836,FALSE,0
472,0.7424,"2011-07-17",FALSE,13,0.49,7,"summer",0.8,"1",0,0.2985,FALSE,0
430,0.7424,"2011-07-17",FALSE,14,0.49,7,"summer",0.8,"1",0,0.3582,FALSE,0
